cell_idx,low_b0,high_b0,b2,low_l,high_l,delta_l,delta_omega,cos_sim,chip_peak,chip_rms,ours_peak,ours_rms,rms_ratio,peak_ratio,chip_pre_rms,ours_pre_rms,chip_atten,ours_atten,excess_atten
760,48.0,52.0,20.0,19.0,20.0,1.0,0.008928,0.991553,12989.0,4802.8,12199.0,4986.4,0.9632,1.0648,5662.9,5617.0,0.15188331067121075,0.11226633434217559,0.03961697632903516
761,48.0,56.0,20.0,19.0,21.0,2.0,0.017354,0.931612,12744.0,4516.5,12199.0,4913.2,0.9193,1.0447,5662.9,5617.0,0.20244044570802944,0.12529820188712837,0.07714224382090107
762,48.0,60.0,20.0,19.0,23.0,4.0,0.025252,0.88722,12520.0,4574.5,12199.0,4839.1,0.9453,1.0263,5662.9,5617.0,0.19219834360486676,0.13849029731173212,0.05370804629313464
763,48.0,64.0,20.0,19.0,24.0,5.0,0.032654,0.885421,12482.0,4432.4,12199.0,4799.8,0.9235,1.0232,5662.9,5617.0,0.21729149375761536,0.14548691472316178,0.07180457903445359
764,48.0,68.0,20.0,19.0,26.0,7.0,0.039622,0.859317,12754.0,4499.0,12199.0,4625.8,0.9726,1.0455,5662.9,5617.0,0.20553073513570785,0.1764643047890333,0.029066430346674554
765,48.0,72.0,20.0,19.0,27.0,8.0,0.04615,0.853522,13188.0,4645.1,12199.0,4640.2,1.0011,1.0811,5662.9,5617.0,0.17973123311377548,0.17390065871461635,0.0058305743991591275
766,48.0,76.0,20.0,19.0,29.0,10.0,0.052251,0.791795,13140.0,4585.1,12199.0,4777.7,0.9597,1.0771,5662.9,5617.0,0.19032651115153,0.1494213993234823,0.04090511182804768
767,48.0,80.0,20.0,19.0,31.0,12.0,0.058314,0.780818,13197.0,4586.1,12199.0,4897.1,0.9365,1.0818,5662.9,5617.0,0.19014992318423407,0.12816450062310836,0.061985422561125714
768,48.0,84.0,20.0,19.0,33.0,14.0,0.063806,0.676105,13312.0,4879.6,12199.0,5149.4,0.9476,1.0912,5662.9,5617.0,0.138321354782885,0.08324728502759482,0.05507406975529017
769,48.0,88.0,20.0,19.0,35.0,16.0,0.068971,0.661742,13059.0,4744.9,12199.0,5086.8,0.9328,1.0705,5662.9,5617.0,0.162107753977644,0.09439202421221293,0.06771572976543105
770,48.0,92.0,20.0,19.0,37.0,18.0,0.073821,0.615389,13337.0,4902.1,12199.0,4886.2,1.0032,1.0933,5662.9,5617.0,0.134348125518727,0.1301050382766602,0.00424308724206679
771,48.0,96.0,20.0,19.0,40.0,21.0,0.078376,0.602995,13773.0,4835.9,12199.0,4700.0,1.0289,1.129,5662.9,5617.0,0.1460382489537163,0.1632544062666904,-0.0172161573129741
772,48.0,100.0,20.0,19.0,42.0,23.0,0.082668,0.60039,14091.0,4906.4,12199.0,4488.8,1.093,1.1551,5662.9,5617.0,0.1335887972593548,0.20085454869147223,-0.06726575143211744
773,48.0,104.0,20.0,19.0,45.0,26.0,0.086708,0.513632,14434.0,4980.4,12199.0,4535.3,1.0981,1.1832,5662.9,5617.0,0.12052128767945758,0.19257610824283422,-0.07205482056337664
774,48.0,108.0,20.0,19.0,48.0,29.0,0.09049,0.472893,15302.0,5236.2,12199.0,4424.8,1.1834,1.2544,5662.9,5617.0,0.0753500856451641,0.21224853124443654,-0.13689844559927244
775,48.0,112.0,20.0,19.0,51.0,32.0,0.094053,0.460204,14322.0,4191.8,12199.0,4100.4,1.0223,1.174,5662.9,5617.0,0.2597785586890109,0.27000178030977395,-0.010223221620763057
776,48.0,116.0,20.0,19.0,54.0,35.0,0.097396,0.425928,14665.0,4325.9,12199.0,4059.7,1.0656,1.2021,5662.9,5617.0,0.23609811227462962,0.2772476410895496,-0.041149528814919956
777,52.0,52.0,20.0,20.0,20.0,0.0,0.0,1.0,11103.0,5090.2,13072.0,5707.5,0.8918,0.8494,5100.9,5658.9,0.0020976690387970454,-0.008588241531039653,0.010685910569836699
778,52.0,56.0,20.0,20.0,21.0,1.0,0.008426,0.936021,10372.0,4513.8,12817.0,5037.9,0.896,0.8092,5100.9,5658.9,0.11509733576427683,0.10973864178550607,0.005358693978770757
779,52.0,60.0,20.0,20.0,23.0,3.0,0.016324,0.891162,11063.0,4308.0,12817.0,5171.6,0.833,0.8632,5100.9,5658.9,0.1554431570899253,0.08611214193571182,0.06933101515421347
780,52.0,64.0,20.0,20.0,24.0,4.0,0.023726,0.890963,12695.0,4352.6,12817.0,5117.3,0.8506,0.9905,5100.9,5658.9,0.14669960203101395,0.09570764636236717,0.05099195566864678
781,52.0,68.0,20.0,20.0,26.0,6.0,0.030694,0.871537,12748.0,4416.8,12817.0,5081.7,0.8691,0.9946,5100.9,5658.9,0.13411358779823157,0.10199862164024809,0.03211496615798348
782,52.0,72.0,20.0,20.0,27.0,7.0,0.037222,0.866527,13296.0,4383.1,12817.0,4956.7,0.8843,1.0374,5100.9,5658.9,0.14072026505126534,0.12408772022831294,0.0166325448229524
783,52.0,76.0,20.0,20.0,29.0,9.0,0.043323,0.800206,12848.0,4583.4,12817.0,4835.6,0.9478,1.0024,5100.9,5658.9,0.10145268482032588,0.14548763894043004,-0.044034954120104164
784,52.0,80.0,20.0,20.0,31.0,11.0,0.049386,0.780971,12977.0,4499.3,12817.0,4766.2,0.944,1.0125,5100.9,5658.9,0.11793997137759993,0.1577515064765237,-0.03981153509892377
785,52.0,84.0,20.0,20.0,33.0,13.0,0.054878,0.694001,13997.0,4607.2,12817.0,4569.7,1.0082,1.0921,5100.9,5658.9,0.09678684153776784,0.19247556945696154,-0.0956887279191937
786,52.0,88.0,20.0,20.0,35.0,15.0,0.060043,0.673656,13847.0,4628.2,12817.0,4676.3,0.9897,1.0804,5100.9,5658.9,0.09266992099433435,0.17363798618105986,-0.0809680651867255
787,52.0,92.0,20.0,20.0,37.0,17.0,0.064893,0.619667,15321.0,4693.1,12817.0,4689.0,1.0009,1.1954,5100.9,5658.9,0.07994667607677064,0.1713937337645125,-0.09144705768774186
788,52.0,96.0,20.0,20.0,40.0,20.0,0.069448,0.614919,15232.0,4705.3,12817.0,4939.7,0.9525,1.1884,5100.9,5658.9,0.07755494128487117,0.12709183763628973,-0.04953689635141856
789,52.0,100.0,20.0,20.0,42.0,22.0,0.07374,0.612747,13655.0,4081.6,12817.0,4938.0,0.8266,1.0654,5100.9,5658.9,0.19982748142484652,0.12739224937708737,0.07243523204775915
790,52.0,104.0,20.0,20.0,45.0,25.0,0.07778,0.541196,13047.0,4141.5,13549.0,5094.9,0.8129,0.9629,5100.9,5658.9,0.188084455684291,0.0996660128293485,0.08841844285494249
791,52.0,108.0,20.0,20.0,48.0,28.0,0.081562,0.484745,14222.0,4174.3,14650.0,5119.7,0.8153,0.9708,5100.9,5658.9,0.18165421788311853,0.09528353566947634,0.08637068221364219
792,52.0,112.0,20.0,20.0,51.0,31.0,0.085125,0.476187,15146.0,4209.0,14420.0,5214.5,0.8072,1.0503,5100.9,5658.9,0.17485149679468326,0.07853116330028798,0.09632033349439528
793,52.0,116.0,20.0,20.0,54.0,34.0,0.088468,0.4482,14832.0,3565.8,15496.0,5215.4,0.6837,0.9572,5100.9,5658.9,0.3009468917249897,0.07837212179045394,0.22257476993453573
794,56.0,56.0,20.0,21.0,21.0,0.0,0.0,1.0,11856.0,5239.0,10773.0,5072.5,1.0328,1.1005,5184.8,5109.2,-0.010453633698503273,0.00718312064511073,-0.017636754343614003
