cell,low_b0,high_b0,b2,chip_atten,ours_atten,spec_atten,chip_residual,ours_residual
110,12,104,8,0.20374331550802138,0.2742223811226313,0.13310661890860254,0.07063669659941885,0.14111576221402877
111,12,108,8,0.21889483065953652,0.2543796925277082,0.13979612696339339,0.07909870369614314,0.11458356556431482
112,12,112,8,0.2349376114081997,0.23131927064712188,0.14772112387243863,0.08721648753576106,0.08359814677468325
113,12,116,8,0.13672014260249554,0.21111905613156945,0.1397161089030764,-0.0029959663005808546,0.07140294722849305
115,16,20,8,0.084472049689441,0.03998552560159219,0.0949860805988253,-0.010514030909384298,-0.05500055499723311
116,16,24,8,0.13078970718722271,0.09155056992943733,0.12074077030054642,0.010048936886676296,-0.029190200371109087
117,16,28,8,0.13203194321206735,0.08123756106386837,0.0479089316957676,0.08412301151629975,0.03332862936810077
118,16,32,8,0.13984028393966286,0.09553102949158687,0.07303311370629428,0.06680717023336857,0.022497915785292588
119,16,36,8,0.16965394853593618,0.08123756106386837,0.11463671302098188,0.0550172355149543,-0.033399151957113515
120,16,40,8,0.107187222715173,0.06802967251673608,0.10551787057253792,0.0016693521426350832,-0.037488198055801836
121,16,44,8,0.09387755102040807,0.037090645920028975,0.09090410647093783,0.002973444549470239,-0.053813460550908854
122,16,48,8,0.06654835847382434,0.022797177492310472,0.056316996329514146,0.010231362144310197,-0.033519818837203674
123,16,52,8,0.09210292812777277,0.04143296544237396,0.08971019007678183,0.002392738050990939,-0.04827722463440787
124,16,56,8,0.07950310559006202,0.11217658766057548,0.12953192088333743,-0.05002881529327541,-0.01735533322276195
125,16,60,8,0.06672582076308786,0.12737470598878242,0.11030665787613303,-0.04358083711304517,0.017068048112649392
126,16,64,8,0.05022182786157936,0.1179663470237019,0.11138229430073232,-0.06116046643915296,0.00658405272296958
127,16,68,8,0.07204968944099388,0.10095892889451796,0.12758338683322656,-0.055533697392232684,-0.0266244579387086
128,16,72,8,0.10328305235137536,0.09462637959109832,0.14039561372569953,-0.03711256137432417,-0.04576923413460121
129,16,76,8,0.1281277728482697,0.08539895060611546,0.11316199495910839,0.014965777889161314,-0.027763044352992927
130,16,80,8,0.13895297249334515,0.09553102949158687,0.13590992162507698,0.003043050868268171,-0.04037889213349011
131,16,84,8,0.11960958296362023,0.06658223267595453,0.09994447403546058,0.019665108928159647,-0.03336224135950605
132,16,88,8,0.16308784383318542,0.0768952415415235,0.1390545701670879,0.024033273666097532,-0.06215932862556439
133,16,92,8,0.20674356699201424,0.0714673421385924,0.12240298240925807,0.08434058458275617,-0.05093564027066566
134,16,96,8,0.25820763087843834,0.0446897050841325,0.1344673155529792,0.12374031532545915,-0.08977761046884669
135,16,100,8,0.26690328305235134,0.03600506603944287,0.14133349892731029,0.12556978412504105,-0.10532843288786742
136,16,104,8,0.290150842945874,0.06875339243712686,0.13310661890860254,0.15704422403727147,-0.06435322647147568
137,16,108,8,0.28589174800354933,0.040166455581689964,0.13979612696339339,0.14609562104015594,-0.09962967138170342
138,16,112,8,0.2977817213842059,0.08956034014836267,0.14772112387243863,0.15006059751176726,-0.05816078372407596
139,16,116,8,0.28979591836734697,0.178035100416139,0.1397161089030764,0.15007980946427057,0.03831899151306262
141,20,24,8,0.1612503868771279,0.09319738728692051,0.19979253703377542,-0.038542150156647526,-0.10659514974685491
142,20,28,8,0.15444134942742194,0.07694758642663702,0.163281929055466,-0.008840579628044076,-0.086334342628829
143,20,32,8,0.12534818941504178,0.01656842440656381,0.05906149695650165,0.06628669245854013,-0.04249307254993784
144,20,36,8,0.15366759517177353,0.03935000796558874,0.12635019000572212,0.02731740516605141,-0.08700018204013338
145,20,40,8,0.1737852058186321,0.08029313366257784,0.14141946191660193,0.032365743902030175,-0.06112632825402409
146,20,44,8,0.16558341070875893,0.07662896288035692,0.154239848148219,0.011343562560539922,-0.07761088526786208
147,20,48,8,0.12225317239244815,0.05145770272423145,0.11716034355150717,0.005092828840940977,-0.06570264082727573
148,20,52,8,0.11745589600742823,0.07407997451011628,0.09652739948659805,0.020928496520830175,-0.022447424976481778
149,20,56,8,0.11234911792014857,0.08857734586585952,0.1523757309172321,-0.040026612997083544,-0.06379838505137259
