cell_idx,low_b0,high_b0,b2,low_l,high_l,delta_l,delta_omega,cos_sim,chip_peak,chip_rms,ours_peak,ours_rms,rms_ratio,peak_ratio,chip_pre_rms,ours_pre_rms
435,88,112,8,35,51,16,0.025082,0.819624,2164.0,658.5,2152.0,633.7,1.0390,1.0056,667.7,680.2
436,88,116,8,35,54,19,0.028425,0.785481,2325.0,677.5,2279.0,619.9,1.0929,1.0202,667.7,680.2
437,92,92,8,37,37,0,0.000000,1.000000,2194.0,691.4,1960.0,681.5,1.0145,1.1194,690.2,681.3
438,92,96,8,37,40,3,0.004555,0.972390,2044.0,633.0,1977.0,625.0,1.0128,1.0339,690.2,681.3
439,92,100,8,37,42,5,0.008847,0.968955,2088.0,630.1,1821.0,528.6,1.1920,1.1466,690.2,681.3
440,92,104,8,37,45,8,0.012887,0.915874,2282.0,674.2,1192.0,458.2,1.4716,1.9144,690.2,681.3
441,92,108,8,37,48,11,0.016669,0.878587,2342.0,671.9,1513.0,497.5,1.3506,1.5479,690.2,681.3
442,92,112,8,37,51,14,0.020232,0.859355,2241.0,669.1,1746.0,518.3,1.2909,1.2835,690.2,681.3
443,92,116,8,37,54,17,0.023575,0.823104,2382.0,698.7,1645.0,467.8,1.4935,1.4480,690.2,681.3
444,96,96,8,40,40,0,0.000000,1.000000,2340.0,713.1,2215.0,699.6,1.0193,1.0564,683.3,679.5
445,96,100,8,40,42,2,0.004292,0.995045,2316.0,663.3,2215.0,661.9,1.0020,1.0456,683.3,679.5
446,96,104,8,40,45,5,0.008332,0.929336,2310.0,681.1,2215.0,671.1,1.0149,1.0429,683.3,679.5
447,96,108,8,40,48,8,0.012114,0.896188,2285.0,692.2,2341.0,670.8,1.0319,0.9761,683.3,679.5
448,96,112,8,40,51,11,0.015677,0.887523,2290.0,698.9,2241.0,668.9,1.0448,1.0219,683.3,679.5
449,96,116,8,40,54,14,0.019020,0.854764,2318.0,712.2,2371.0,678.5,1.0497,0.9776,683.3,679.5
450,100,100,8,42,42,0,0.000000,1.000000,2395.0,744.6,2320.0,657.9,1.1318,1.0323,732.3,703.9
451,100,104,8,42,45,3,0.004040,0.933245,2360.0,692.6,2343.0,642.9,1.0773,1.0073,732.3,703.9
452,100,108,8,42,48,6,0.007822,0.897637,2487.0,680.7,2337.0,623.3,1.0921,1.0642,732.3,703.9
453,100,112,8,42,51,9,0.011385,0.891228,2612.0,707.2,2294.0,644.4,1.0975,1.1386,732.3,703.9
454,100,116,8,42,54,12,0.014728,0.862709,2586.0,703.3,2163.0,637.4,1.1034,1.1956,732.3,703.9
455,104,104,8,45,45,0,0.000000,1.000000,2503.0,649.5,2385.0,735.5,0.8832,1.0495,701.7,692.5
456,104,108,8,45,48,3,0.003782,0.938075,2383.0,552.0,2384.0,717.6,0.7691,0.9996,701.7,692.5
457,104,112,8,45,51,6,0.007345,0.924261,2317.0,537.3,2384.0,717.6,0.7488,0.9719,701.7,692.5
458,104,116,8,45,54,9,0.010688,0.900822,2518.0,557.7,2441.0,729.5,0.7645,1.0315,701.7,692.5
459,108,108,8,48,48,0,0.000000,1.000000,2444.0,688.3,2335.0,577.9,1.1910,1.0467,684.0,673.0
460,108,112,8,48,51,3,0.003563,0.981019,2430.0,659.3,2244.0,567.2,1.1624,1.0829,684.0,673.0
461,108,116,8,48,54,6,0.006906,0.940547,2589.0,627.0,2332.0,573.8,1.0927,1.1102,684.0,673.0
462,112,112,8,51,51,0,0.000000,1.000000,2555.0,706.5,2383.0,745.2,0.9481,1.0722,685.6,660.4
463,112,116,8,51,54,3,0.003343,0.966774,2569.0,683.5,2470.0,728.1,0.9387,1.0401,685.6,660.4
464,116,116,8,54,54,0,0.000000,1.000000,2529.0,745.7,2385.0,596.9,1.2493,1.0604,693.8,688.6
465,0,0,20,9,9,0,0.000000,1.000000,7002.0,4636.7,7681.0,4601.1,1.0077,0.9116,4636.1,4601.7
466,0,4,20,9,9,0,0.018604,1.000000,7374.0,4654.8,7680.0,4520.0,1.0298,0.9602,4636.1,4601.7
467,0,8,20,9,10,1,0.036097,0.987532,6744.0,3590.3,7681.0,3794.0,0.9463,0.8780,4636.1,4601.7
468,0,12,20,9,11,2,0.052540,0.957720,6722.0,3174.5,7681.0,3744.2,0.8478,0.8751,4636.1,4601.7
469,0,16,20,9,11,2,0.068003,0.957720,6650.0,3062.5,7681.0,3737.8,0.8193,0.8658,4636.1,4601.7
470,0,20,20,9,12,3,0.082511,0.954119,6742.0,3146.8,7681.0,4135.7,0.7609,0.8778,4636.1,4601.7
471,0,24,20,9,13,4,0.096126,0.801020,6889.0,3171.4,7681.0,3903.7,0.8124,0.8969,4636.1,4601.7
472,0,28,20,9,14,5,0.108925,0.797819,7266.0,3229.6,7681.0,3850.3,0.8388,0.9460,4636.1,4601.7
473,0,32,20,9,15,6,0.121416,0.794403,7384.0,3243.2,8455.0,4062.6,0.7983,0.8733,4636.1,4601.7
474,0,36,20,9,16,7,0.132826,0.734962,7275.0,3496.6,7681.0,3835.8,0.9116,0.9471,4636.1,4601.7
