cell_idx,low_b0,high_b0,b2,low_l,high_l,low_omega,high_omega,delta_l,delta_omega,cos_sim
146,20,44,8,12,18,0.231466,0.160315,6,0.071151,0.713679
147,20,48,8,12,19,0.231466,0.150809,7,0.080657,0.711407
148,20,52,8,12,20,0.231466,0.141881,8,0.089585,0.706838
149,20,56,8,12,21,0.231466,0.133455,9,0.098011,0.678154
150,20,60,8,12,23,0.231466,0.125557,11,0.105909,0.606815
151,20,64,8,12,24,0.231466,0.118155,12,0.113311,0.604846
152,20,68,8,12,26,0.231466,0.111187,14,0.120279,0.583333
153,20,72,8,12,27,0.231466,0.104659,15,0.126807,0.580363
154,20,76,8,12,29,0.231466,0.098558,17,0.132908,0.486786
155,20,80,8,12,31,0.231466,0.092495,19,0.138971,0.475382
156,20,84,8,12,33,0.231466,0.087003,21,0.144463,0.437191
157,20,88,8,12,35,0.231466,0.081838,23,0.149628,0.412458
158,20,92,8,12,37,0.231466,0.076988,25,0.154478,0.382230
159,20,96,8,12,40,0.231466,0.072433,28,0.159033,0.366081
160,20,100,8,12,42,0.231466,0.068141,30,0.163325,0.364148
161,20,104,8,12,45,0.231466,0.064101,33,0.167365,0.326036
162,20,108,8,12,48,0.231466,0.060319,36,0.171147,0.304999
163,20,112,8,12,51,0.231466,0.056756,39,0.174710,0.294525
164,20,116,8,12,54,0.231466,0.053413,42,0.178053,0.286612
165,24,24,8,13,13,0.217851,0.217851,0,0.000000,1.000000
166,24,28,8,13,14,0.217851,0.205052,1,0.012799,0.988779
167,24,32,8,13,15,0.217851,0.192561,2,0.025290,0.985644
168,24,36,8,13,16,0.217851,0.181151,3,0.036700,0.938800
169,24,40,8,13,17,0.217851,0.170413,4,0.047438,0.932889
170,24,44,8,13,18,0.217851,0.160315,5,0.057536,0.863922
171,24,48,8,13,19,0.217851,0.150809,6,0.067042,0.861171
172,24,52,8,13,20,0.217851,0.141881,7,0.075970,0.860560
173,24,56,8,13,21,0.217851,0.133455,8,0.084396,0.824973
174,24,60,8,13,23,0.217851,0.125557,10,0.092294,0.700381
175,24,64,8,13,24,0.217851,0.118155,11,0.099696,0.697700
176,24,68,8,13,26,0.217851,0.111187,13,0.106664,0.693943
177,24,72,8,13,27,0.217851,0.104659,14,0.113192,0.691521
178,24,76,8,13,29,0.217851,0.098558,16,0.119293,0.599226
179,24,80,8,13,31,0.217851,0.092495,18,0.125356,0.564445
180,24,84,8,13,33,0.217851,0.087003,20,0.130848,0.494349
181,24,88,8,13,35,0.217851,0.081838,22,0.136013,0.476976
182,24,92,8,13,37,0.217851,0.076988,24,0.140863,0.423153
183,24,96,8,13,40,0.217851,0.072433,27,0.145418,0.402931
184,24,100,8,13,42,0.217851,0.068141,29,0.149710,0.400804
185,24,104,8,13,45,0.217851,0.064101,32,0.153750,0.355508
186,24,108,8,13,48,0.217851,0.060319,35,0.157532,0.313440
187,24,112,8,13,51,0.217851,0.056756,38,0.161095,0.303110
188,24,116,8,13,54,0.217851,0.053413,41,0.164438,0.288582
189,28,28,8,14,14,0.205052,0.205052,0,0.000000,1.000000
190,28,32,8,14,15,0.205052,0.192561,1,0.012491,0.996033
191,28,36,8,14,16,0.205052,0.181151,2,0.023901,0.935506
192,28,40,8,14,17,0.205052,0.170413,3,0.034639,0.935847
193,28,44,8,14,18,0.205052,0.160315,4,0.044737,0.889854
194,28,48,8,14,19,0.205052,0.150809,5,0.054243,0.887290
195,28,52,8,14,20,0.205052,0.141881,6,0.063171,0.877636
196,28,56,8,14,21,0.205052,0.133455,7,0.071597,0.829634
197,28,60,8,14,23,0.205052,0.125557,9,0.079495,0.730016
198,28,64,8,14,24,0.205052,0.118155,10,0.086897,0.726729
199,28,68,8,14,26,0.205052,0.111187,12,0.093865,0.699991
200,28,72,8,14,27,0.205052,0.104659,13,0.100393,0.697812
201,28,76,8,14,29,0.205052,0.098558,15,0.106494,0.627018
202,28,80,8,14,31,0.205052,0.092495,17,0.112557,0.609997
203,28,84,8,14,33,0.205052,0.087003,19,0.118049,0.514734
204,28,88,8,14,35,0.205052,0.081838,21,0.123214,0.500875
205,28,92,8,14,37,0.205052,0.076988,23,0.128064,0.460607
206,28,96,8,14,40,0.205052,0.072433,26,0.132619,0.438672
207,28,100,8,14,42,0.205052,0.068141,28,0.136911,0.436356
208,28,104,8,14,45,0.205052,0.064101,31,0.140951,0.381876
209,28,108,8,14,48,0.205052,0.060319,34,0.144733,0.349051
210,28,112,8,14,51,0.205052,0.056756,37,0.148296,0.338010
211,28,116,8,14,54,0.205052,0.053413,40,0.151639,0.312693
212,32,32,8,15,15,0.192561,0.192561,0,0.000000,1.000000
213,32,36,8,15,16,0.192561,0.181151,1,0.011410,0.938368
214,32,40,8,15,17,0.192561,0.170413,2,0.022148,0.935069
215,32,44,8,15,18,0.192561,0.160315,3,0.032246,0.892442
216,32,48,8,15,19,0.192561,0.150809,4,0.041752,0.890947
217,32,52,8,15,20,0.192561,0.141881,5,0.050680,0.885365
218,32,56,8,15,21,0.192561,0.133455,6,0.059106,0.830290
219,32,60,8,15,23,0.192561,0.125557,8,0.067004,0.736439
220,32,64,8,15,24,0.192561,0.118155,9,0.074406,0.733428
221,32,68,8,15,26,0.192561,0.111187,11,0.081374,0.705917
222,32,72,8,15,27,0.192561,0.104659,12,0.087902,0.703315
223,32,76,8,15,29,0.192561,0.098558,14,0.094003,0.631455
224,32,80,8,15,31,0.192561,0.092495,16,0.100066,0.622422
225,32,84,8,15,33,0.192561,0.087003,18,0.105558,0.536034
226,32,88,8,15,35,0.192561,0.081838,20,0.110723,0.509811
227,32,92,8,15,37,0.192561,0.076988,22,0.115573,0.476573
228,32,96,8,15,40,0.192561,0.072433,25,0.120128,0.463859
229,32,100,8,15,42,0.192561,0.068141,27,0.124420,0.461410
230,32,104,8,15,45,0.192561,0.064101,30,0.128460,0.405324
231,32,108,8,15,48,0.192561,0.060319,33,0.132242,0.369089
232,32,112,8,15,51,0.192561,0.056756,36,0.135805,0.357563
233,32,116,8,15,54,0.192561,0.053413,39,0.139148,0.333011
234,36,36,8,16,16,0.181151,0.181151,0,0.000000,1.000000
235,36,40,8,16,17,0.181151,0.170413,1,0.010738,0.991072
236,36,44,8,16,18,0.181151,0.160315,2,0.020836,0.877130
237,36,48,8,16,19,0.181151,0.150809,3,0.030342,0.875913
238,36,52,8,16,20,0.181151,0.141881,4,0.039270,0.874153
239,36,56,8,16,21,0.181151,0.133455,5,0.047696,0.874962
240,36,60,8,16,23,0.181151,0.125557,7,0.055594,0.794798
241,36,64,8,16,24,0.181151,0.118155,8,0.062996,0.794746
242,36,68,8,16,26,0.181151,0.111187,10,0.069964,0.781320
243,36,72,8,16,27,0.181151,0.104659,11,0.076492,0.777757
244,36,76,8,16,29,0.181151,0.098558,13,0.082593,0.652056
245,36,80,8,16,31,0.181151,0.092495,15,0.088656,0.641091
246,36,84,8,16,33,0.181151,0.087003,17,0.094148,0.590452
247,36,88,8,16,35,0.181151,0.081838,19,0.099313,0.568293
248,36,92,8,16,37,0.181151,0.076988,21,0.104163,0.496688
249,36,96,8,16,40,0.181151,0.072433,24,0.108718,0.485187
250,36,100,8,16,42,0.181151,0.068141,26,0.113010,0.482624
251,36,104,8,16,45,0.181151,0.064101,29,0.117050,0.436256
252,36,108,8,16,48,0.181151,0.060319,32,0.120832,0.384712
253,36,112,8,16,51,0.181151,0.056756,35,0.124395,0.371927
254,36,116,8,16,54,0.181151,0.053413,38,0.127738,0.352146
255,40,40,8,17,17,0.170413,0.170413,0,0.000000,1.000000
256,40,44,8,17,18,0.170413,0.160315,1,0.010098,0.880950
257,40,48,8,17,19,0.170413,0.150809,2,0.019604,0.878454
258,40,52,8,17,20,0.170413,0.141881,3,0.028532,0.876813
259,40,56,8,17,21,0.170413,0.133455,4,0.036958,0.883810
260,40,60,8,17,23,0.170413,0.125557,6,0.044856,0.814005
261,40,64,8,17,24,0.170413,0.118155,7,0.052258,0.807285
262,40,68,8,17,26,0.170413,0.111187,9,0.059226,0.780681
263,40,72,8,17,27,0.170413,0.104659,10,0.065754,0.778886
264,40,76,8,17,29,0.170413,0.098558,12,0.071855,0.673868
265,40,80,8,17,31,0.170413,0.092495,14,0.077918,0.651229
266,40,84,8,17,33,0.170413,0.087003,16,0.083410,0.598675
267,40,88,8,17,35,0.170413,0.081838,18,0.088575,0.592719
268,40,92,8,17,37,0.170413,0.076988,20,0.093425,0.527676
269,40,96,8,17,40,0.170413,0.072433,23,0.097980,0.503007
270,40,100,8,17,42,0.170413,0.068141,25,0.102272,0.500350
271,40,104,8,17,45,0.170413,0.064101,28,0.106312,0.457841
272,40,108,8,17,48,0.170413,0.060319,31,0.110094,0.413431
273,40,112,8,17,51,0.170413,0.056756,34,0.113657,0.398237
274,40,116,8,17,54,0.170413,0.053413,37,0.117000,0.371517
275,44,44,8,18,18,0.160315,0.160315,0,0.000000,1.000000
276,44,48,8,18,19,0.160315,0.150809,1,0.009506,0.997279
277,44,52,8,18,20,0.160315,0.141881,2,0.018434,0.988639
278,44,56,8,18,21,0.160315,0.133455,3,0.026860,0.931376
279,44,60,8,18,23,0.160315,0.125557,5,0.034758,0.886589
280,44,64,8,18,24,0.160315,0.118155,6,0.042160,0.881537
281,44,68,8,18,26,0.160315,0.111187,8,0.049128,0.853910
282,44,72,8,18,27,0.160315,0.104659,9,0.055656,0.853231
283,44,76,8,18,29,0.160315,0.098558,11,0.061757,0.788912
284,44,80,8,18,31,0.160315,0.092495,13,0.067820,0.776261
285,44,84,8,18,33,0.160315,0.087003,15,0.073312,0.671538
286,44,88,8,18,35,0.160315,0.081838,17,0.078477,0.658462
287,44,92,8,18,37,0.160315,0.076988,19,0.083327,0.610236
288,44,96,8,18,40,0.160315,0.072433,22,0.087882,0.591042
289,44,100,8,18,42,0.160315,0.068141,24,0.092174,0.588013
290,44,104,8,18,45,0.160315,0.064101,27,0.096214,0.506674
291,44,108,8,18,48,0.160315,0.060319,30,0.099996,0.457520
292,44,112,8,18,51,0.160315,0.056756,33,0.103559,0.440902
293,44,116,8,18,54,0.160315,0.053413,36,0.106902,0.405757
294,48,48,8,19,19,0.150809,0.150809,0,0.000000,1.000000
295,48,52,8,19,20,0.150809,0.141881,1,0.008928,0.991553
296,48,56,8,19,21,0.150809,0.133455,2,0.017354,0.931612
297,48,60,8,19,23,0.150809,0.125557,4,0.025252,0.887220
298,48,64,8,19,24,0.150809,0.118155,5,0.032654,0.885421
299,48,68,8,19,26,0.150809,0.111187,7,0.039622,0.859317
300,48,72,8,19,27,0.150809,0.104659,8,0.046150,0.853522
301,48,76,8,19,29,0.150809,0.098558,10,0.052251,0.791795
302,48,80,8,19,31,0.150809,0.092495,12,0.058314,0.780818
303,48,84,8,19,33,0.150809,0.087003,14,0.063806,0.676105
304,48,88,8,19,35,0.150809,0.081838,16,0.068971,0.661742
305,48,92,8,19,37,0.150809,0.076988,18,0.073821,0.615389
306,48,96,8,19,40,0.150809,0.072433,21,0.078376,0.602995
307,48,100,8,19,42,0.150809,0.068141,23,0.082668,0.600390
308,48,104,8,19,45,0.150809,0.064101,26,0.086708,0.513632
309,48,108,8,19,48,0.150809,0.060319,29,0.090490,0.472893
310,48,112,8,19,51,0.150809,0.056756,32,0.094053,0.460204
311,48,116,8,19,54,0.150809,0.053413,35,0.097396,0.425928
312,52,52,8,20,20,0.141881,0.141881,0,0.000000,1.000000
313,52,56,8,20,21,0.141881,0.133455,1,0.008426,0.936021
314,52,60,8,20,23,0.141881,0.125557,3,0.016324,0.891162
315,52,64,8,20,24,0.141881,0.118155,4,0.023726,0.890963
316,52,68,8,20,26,0.141881,0.111187,6,0.030694,0.871537
317,52,72,8,20,27,0.141881,0.104659,7,0.037222,0.866527
318,52,76,8,20,29,0.141881,0.098558,9,0.043323,0.800206
319,52,80,8,20,31,0.141881,0.092495,11,0.049386,0.780971
320,52,84,8,20,33,0.141881,0.087003,13,0.054878,0.694001
321,52,88,8,20,35,0.141881,0.081838,15,0.060043,0.673656
322,52,92,8,20,37,0.141881,0.076988,17,0.064893,0.619667
323,52,96,8,20,40,0.141881,0.072433,20,0.069448,0.614919
324,52,100,8,20,42,0.141881,0.068141,22,0.073740,0.612747
325,52,104,8,20,45,0.141881,0.064101,25,0.077780,0.541196
326,52,108,8,20,48,0.141881,0.060319,28,0.081562,0.484745
327,52,112,8,20,51,0.141881,0.056756,31,0.085125,0.476187
328,52,116,8,20,54,0.141881,0.053413,34,0.088468,0.448200
329,56,56,8,21,21,0.133455,0.133455,0,0.000000,1.000000
330,56,60,8,21,23,0.133455,0.125557,2,0.007898,0.901900
331,56,64,8,21,24,0.133455,0.118155,3,0.015300,0.898870
332,56,68,8,21,26,0.133455,0.111187,5,0.022268,0.896912
333,56,72,8,21,27,0.133455,0.104659,6,0.028796,0.894861
334,56,76,8,21,29,0.133455,0.098558,8,0.034897,0.848391
335,56,80,8,21,31,0.133455,0.092495,10,0.040960,0.818795
336,56,84,8,21,33,0.133455,0.087003,12,0.046452,0.753372
337,56,88,8,21,35,0.133455,0.081838,14,0.051617,0.743785
338,56,92,8,21,37,0.133455,0.076988,16,0.056467,0.650446
339,56,96,8,21,40,0.133455,0.072433,19,0.061022,0.636406
340,56,100,8,21,42,0.133455,0.068141,21,0.065314,0.634215
341,56,104,8,21,45,0.133455,0.064101,24,0.069354,0.592085
342,56,108,8,21,48,0.133455,0.060319,27,0.073136,0.515432
343,56,112,8,21,51,0.133455,0.056756,30,0.076699,0.504607
344,56,116,8,21,54,0.133455,0.053413,33,0.080042,0.473167
345,60,60,8,23,23,0.125557,0.125557,0,0.000000,1.000000
346,60,64,8,23,24,0.125557,0.118155,1,0.007402,0.993421
347,60,68,8,23,26,0.125557,0.111187,3,0.014370,0.951277
348,60,72,8,23,27,0.125557,0.104659,4,0.020898,0.950372
349,60,76,8,23,29,0.125557,0.098558,6,0.026999,0.897093
350,60,80,8,23,31,0.125557,0.092495,8,0.033062,0.880511
351,60,84,8,23,33,0.125557,0.087003,10,0.038554,0.823914
352,60,88,8,23,35,0.125557,0.081838,12,0.043719,0.804607
353,60,92,8,23,37,0.125557,0.076988,14,0.048569,0.759629
354,60,96,8,23,40,0.125557,0.072433,17,0.053124,0.739229
355,60,100,8,23,42,0.125557,0.068141,19,0.057416,0.736368
356,60,104,8,23,45,0.125557,0.064101,22,0.061456,0.648138
357,60,108,8,23,48,0.125557,0.060319,25,0.065238,0.600738
358,60,112,8,23,51,0.125557,0.056756,28,0.068801,0.581700
359,60,116,8,23,54,0.125557,0.053413,31,0.072144,0.522450
360,64,64,8,24,24,0.118155,0.118155,0,0.000000,1.000000
361,64,68,8,24,26,0.118155,0.111187,2,0.006968,0.955498
362,64,72,8,24,27,0.118155,0.104659,3,0.013496,0.951396
363,64,76,8,24,29,0.118155,0.098558,5,0.019597,0.899677
364,64,80,8,24,31,0.118155,0.092495,7,0.025660,0.889397
365,64,84,8,24,33,0.118155,0.087003,9,0.031152,0.836402
366,64,88,8,24,35,0.118155,0.081838,11,0.036317,0.810724
367,64,92,8,24,37,0.118155,0.076988,13,0.041167,0.759547
368,64,96,8,24,40,0.118155,0.072433,16,0.045722,0.751464
369,64,100,8,24,42,0.118155,0.068141,18,0.050014,0.748461
370,64,104,8,24,45,0.118155,0.064101,21,0.054054,0.652760
371,64,108,8,24,48,0.118155,0.060319,24,0.057836,0.614145
372,64,112,8,24,51,0.118155,0.056756,27,0.061399,0.603249
373,64,116,8,24,54,0.118155,0.053413,30,0.064742,0.545731
374,68,68,8,26,26,0.111187,0.111187,0,0.000000,1.000000
375,68,72,8,26,27,0.111187,0.104659,1,0.006528,0.994368
376,68,76,8,26,29,0.111187,0.098558,3,0.012629,0.921948
377,68,80,8,26,31,0.111187,0.092495,5,0.018692,0.906140
378,68,84,8,26,33,0.111187,0.087003,7,0.024184,0.874892
379,68,88,8,26,35,0.111187,0.081838,9,0.029349,0.850639
380,68,92,8,26,37,0.111187,0.076988,11,0.034199,0.798260
381,68,96,8,26,40,0.111187,0.072433,14,0.038754,0.783791
382,68,100,8,26,42,0.111187,0.068141,16,0.043046,0.781214
383,68,104,8,26,45,0.111187,0.064101,19,0.047086,0.710586
384,68,108,8,26,48,0.111187,0.060319,22,0.050868,0.634354
385,68,112,8,26,51,0.111187,0.056756,25,0.054431,0.629875
386,68,116,8,26,54,0.111187,0.053413,28,0.057774,0.598670
387,72,72,8,27,27,0.104659,0.104659,0,0.000000,1.000000
388,72,76,8,27,29,0.104659,0.098558,2,0.006101,0.927325
389,72,80,8,27,31,0.104659,0.092495,4,0.012164,0.907137
390,72,84,8,27,33,0.104659,0.087003,6,0.017656,0.879530
391,72,88,8,27,35,0.104659,0.081838,8,0.022821,0.860365
392,72,92,8,27,37,0.104659,0.076988,10,0.027671,0.809428
393,72,96,8,27,40,0.104659,0.072433,13,0.032226,0.787202
394,72,100,8,27,42,0.104659,0.068141,15,0.036518,0.785667
395,72,104,8,27,45,0.104659,0.064101,18,0.040558,0.721915
396,72,108,8,27,48,0.104659,0.060319,21,0.044340,0.640352
397,72,112,8,27,51,0.104659,0.056756,24,0.047903,0.632762
398,72,116,8,27,54,0.104659,0.053413,27,0.051246,0.606247
399,76,76,8,29,29,0.098558,0.098558,0,0.000000,1.000000
400,76,80,8,29,31,0.098558,0.092495,2,0.006063,0.965016
401,76,84,8,29,33,0.098558,0.087003,4,0.011555,0.910969
402,76,88,8,29,35,0.098558,0.081838,6,0.016720,0.906145
403,76,92,8,29,37,0.098558,0.076988,8,0.021570,0.866928
404,76,96,8,29,40,0.098558,0.072433,11,0.026125,0.841198
405,76,100,8,29,42,0.098558,0.068141,13,0.030417,0.836352
